# time_s east_m north_m up_m qx qy qz qw
4872.33 0.00410326 0.000770759 -0.005 0.0165267 0.175648 -0.805494 0.565733
4872.53 0.00388094 -0.00451445 0.001 -0.113819 0.213202 -0.469088 0.849439
4872.73 0.00388094 -0.00422817 0.001 -0.149014 0.109757 -0.0105885 0.982668
4872.93 0.00388094 -0.00394189 0.003 -0.0816845 0.197848 -0.643622 0.734802
4873.13 0.00255342 -0.00432176 -9.51556e-10 -0.12257 0.171181 -0.657972 0.723012
4873.33 0.00399528 -0.00403548 0.002 -0.0846464 -0.0425637 0.654418 0.750174
4873.53 0.000889251 0.00249946 -0.01 0.0273138 0.15079 -0.21529 0.964451
4873.73 -4.44509e-10 0.00249946 -0.009 -0.183917 0.0765585 -0.174715 0.964255
4873.94 2.11787e-10 0.00230677 -0.01 0.00574001 -0.0337759 0.998014 0.0528545
4874.14 0.000114333 0.0036501 -0.01 -0.172447 0.0207472 0.441526 0.880276
4874.34 -0.000882898 0.00259306 -0.012 -0.0218287 0.171461 -0.508803 0.843353
4874.54 -0.00110521 0.00394189 -0.013 -0.134621 0.266116 -0.593074 0.747879
4874.74 -0.00110521 0.00317113 -0.014 -0.0038878 0.157367 -0.515871 0.842079
4874.94 -0.00121954 0.00249946 -0.014 -0.138201 0.0942018 0.0166689 0.985773
4875.14 -0.00188013 0.00336382 -0.015 -0.110579 0.191601 -0.0316864 0.974709
4875.33 -0.00210244 0.00288484 -0.015 -0.0990137 0.125108 -0.595979 0.78699
4875.54 0.000889251 0.00297844 -0.009 -0.0750763 0.175018 -0.732894 0.653146
4875.74 0.000781271 0.00249946 -0.01 -0.100377 -0.0283402 -0.368422 0.923789
4875.93 0.000222313 0.00269215 -0.01 -0.106434 0.0690815 0.848705 0.513419
4876.13 0.000444625 0.00317113 -0.009 -0.131957 0.0477718 0.0109539 0.990043
4876.33 0.000666939 0.00278575 -0.009 -0.0780606 0.0683929 -0.164907 0.980834
4876.53 0.00399528 -0.00461355 -0.001 -0.0573646 0.0288159 -0.223101 0.972679
4876.73 0.00365863 -0.00432176 -0.001 -0.137671 -0.0188352 -0.477436 0.86761
4876.93 0.00322036 -0.0053788 -0.003 -0.0711119 0.162747 -0.588429 0.788802
4877.13 0.00322036 -0.00470714 -3.12055e-10 -0.0901713 0.0677267 -0.21904 0.969177
4877.33 0.00322036 -0.00567059 0.000999999 -0.0984145 0.0741923 0.947289 0.295726
4877.53 -0.000438273 0.00297844 -0.003 -0.133513 0.0241966 0.0806784 0.987461
4877.73 0.000336645 0.00307203 -0.001 0.0450437 0.125013 -0.831196 0.539867
4877.93 0.000336645 0.00230677 -0.001 -0.0830443 0.0626823 -0.705213 0.70132
4878.13 -0.000774918 0.00307203 -0.001 -0.114299 0.112228 0.697597 0.698355
4878.33 0.000114333 0.00412907 -0.001 -0.0118483 0.108027 0.340208 0.934049
4878.53 0.00121954 0.00297844 -0.002 -0.0939471 -0.0249526 0.625195 0.774392
4878.73 0.000222313 0.00317113 -0.004 -0.108212 -0.000651246 0.790353 0.603019
4878.93 0.00144186 0.0036501 -0.002 -0.0325251 -0.0431054 -0.620049 0.782702
4879.13 0.0017785 0.00345741 -0.002 0.0706005 0.0679845 -0.446526 0.889387
4879.33 0.00121954 0.00403548 -0.002 -0.0635393 0.0900937 0.36673 0.923772
4879.53 -0.00110521 0.00605597 -0.005 0.00798235 0.0615984 -0.0411224 0.997222
4879.73 -0.00132752 0.00567059 -0.007 0.0751723 0.0134464 -0.607501 0.79064
4879.93 -0.000997231 0.00499893 -0.007 -0.206302 -0.0137644 0.114357 0.971685
4880.13 -0.00099723 0.00557149 -0.006 0.0762318 -0.0332962 -0.465864 0.880938
4880.33 -0.00165782 0.0054779 -0.008 -0.0801552 0.0427848 0.423724 0.901223
4880.53 0.00299805 -0.0036501 -0.001 -0.0387804 0.0827053 0.308322 0.946886
4880.73 0.00343632 -0.00413458 0.002 -0.0598222 -0.0404067 0.766809 0.637803
4880.93 0.00388094 -0.0037492 0.002 -0.181741 0.0738833 -0.19886 0.960191
4881.13 0.00388094 -0.00230677 -3.06085e-11 -0.204789 0.142913 -0.562812 0.78796
4881.33 0.00277573 -0.00336382 -0.002 0.0493758 -0.108108 0.885559 -0.449066
4881.53 0.0017785 0.00269215 -0.008 -0.146254 0.235638 -0.524264 0.805128
4881.73 0.00144186 0.00297844 -0.006 -0.0828527 0.102122 -0.113921 0.984748
4881.93 0.000558958 0.00297844 -0.007 -0.0852121 -0.0601547 0.993994 -0.0331053
4882.14 0.000444625 0.00288484 -0.008 -0.0767333 -0.0357729 -0.655009 0.750863
4882.34 -0.00010798 0.00336382 -0.006 0.00545217 0.0445532 0.986526 -0.157327
4882.54 -0.000438273 0.00317113 -0.008 -0.0543988 0.0474478 0.72635 0.683524
4882.74 -0.00110521 0.00345741 -0.009 -0.0476265 0.105627 0.0851295 0.98961
4882.94 -0.000882898 0.00384279 -0.01 -0.0510162 0.103155 0.127269 0.98517
4883.14 -0.00144186 0.00269215 -0.01 -0.116466 0.0663811 0.685029 0.716076
4883.33 -0.00199446 0.00422817 -0.01 -0.129329 0.175765 0.307163 0.9263
4883.53 0.00299805 -0.00461355 -0.002 -0.103511 -0.00899272 -0.392304 0.913949
4883.73 0.00243909 -0.00470714 -0.003 0.0860499 0.11705 -0.704866 0.694304
4883.94 0.00200081 -0.00403548 -0.006 -0.00311721 0.0282149 0.992429 0.119495
4884.14 0.00188648 -0.00432176 -0.006 -0.07793 0.101366 -0.851944 0.507784
