# time_s east_m north_m up_m qx qy qz qw
2509.93 -15.8067 -23.3007 0.742062 -0.29548 -0.529641 -0.459475 0.648888
2510.13 -16.2244 -23.7228 0.764065 0.824453 -0.174301 0.365271 -0.395567
2510.33 -16.6532 -24.1474 0.790068 0.0734616 -0.0995523 0.860182 -0.494752
2510.53 -17.0841 -24.5729 0.81407 -0.167124 -0.727586 -0.352459 0.564323
2510.73 -17.5197 -24.9996 0.840073 0.285628 0.75206 0.538802 -0.25003
2510.93 -17.9598 -25.4246 0.866076 -0.0188957 0.962933 -0.135264 -0.23261
2511.13 -18.3981 -25.8479 0.892079 -0.0675808 0.983845 -0.156316 -0.0551985
2511.33 -18.8371 -26.2721 0.920082 0.334756 -0.154786 0.919925 0.133108
2511.53 -19.2727 -26.6912 0.942085 -0.443023 0.633762 0.628521 0.0838959
2511.73 -19.7091 -27.1083 0.967088 0.458493 -0.289207 -0.658226 0.522382
2511.93 -20.1443 -27.5254 0.988087 0.727664 -0.117324 0.273305 0.618098
2512.13 -20.5726 -27.9313 1.01517 0.404837 -0.516843 -0.315612 0.685106
2512.33 -20.9987 -28.3361 1.04611 0.652517 0.555969 -0.378885 -0.348664
2512.53 -21.4226 -28.7414 1.06814 -0.108091 0.961752 0.111155 -0.225817
2512.73 -21.8461 -29.1452 1.0941 0.867422 0.166697 0.433899 0.177549
2512.93 -22.2745 -29.547 1.12011 0.796794 0.0202033 -0.471377 0.37751
2513.13 -22.6976 -29.9466 1.14111 0.912033 0.0127998 -0.151453 -0.380913
2513.33 -23.1253 -30.3466 1.16411 -0.552894 0.74871 -0.202177 0.304741
2513.53 -23.5492 -30.7419 1.18912 -0.361101 0.478457 0.545397 0.585856
2513.73 -23.9717 -31.1351 1.21012 -0.485218 -0.0641426 -0.171292 0.855049
2513.93 -24.3937 -31.5273 1.23012 0.883314 -0.312089 0.210972 -0.279011
2514.13 -24.8205 -31.9241 1.25213 -0.151234 0.483644 -0.50494 0.69875
2514.33 -25.2554 -32.3282 1.27513 0.506582 0.409289 -0.448848 0.611877
2514.53 -25.6954 -32.7347 1.29714 0.550706 0.812704 -0.115304 0.151461
2514.73 -26.1385 -33.1479 1.31614 0.541877 0.503294 0.51793 0.429899
2514.93 -26.5896 -33.5621 1.34414 0.888602 -0.271482 -0.158441 0.334035
2515.13 -27.0489 -33.9825 1.36815 -0.00780735 -0.271923 0.896525 -0.349629
2515.33 -27.5131 -34.4106 1.39315 0.557583 0.778311 -0.286979 0.0312373
2515.53 -27.9841 -34.84 1.42116 0.274412 0.953833 0.00644103 -0.121902
2515.73 -28.4563 -35.2711 1.45116 0.0199241 0.70425 -0.549232 0.449422
2515.93 -28.942 -35.7119 1.47317 0.905968 -0.195298 0.0849401 0.365877
2516.13 -29.4315 -36.154 1.49917 0.681003 -0.337329 0.618283 -0.200423
2516.33 -29.9254 -36.6018 1.52718 0.593231 0.0988548 -0.587032 0.541939
2516.53 -30.4279 -37.0546 1.55418 0.777872 -0.102621 0.487919 0.382516
2516.73 -30.9348 -37.5113 1.58219 0.420592 0.0264492 -0.0499595 0.905487
2516.93 -31.4485 -37.9688 1.60219 0.116808 0.079839 0.38476 0.912108
2517.13 -31.9679 -38.433 1.6302 -0.155178 0.0977621 0.583213 0.791344
2517.33 -32.4937 -38.8994 1.6572 0.764383 0.407815 -0.478362 -0.143441
2517.53 -33.0276 -39.3714 1.68421 0.750456 0.147326 0.63542 0.106545
2517.73 -33.5703 -39.8501 1.71021 0.318506 -0.588705 0.675059 0.310283
2517.93 -34.1193 -40.3293 1.74122 0.491722 0.182553 -0.274121 0.806065
2518.13 -34.6777 -40.8125 1.77023 -0.17081 0.26896 -0.316113 0.89362
2518.33 -35.2391 -41.2999 1.79923 0.933744 -0.00114538 -0.323124 -0.153987
2518.53 -35.81 -41.7932 1.82924 0.92482 -0.0474057 0.287449 -0.244608
2518.73 -36.3858 -42.2892 1.86024 0.476664 -0.0258983 0.775735 -0.412741
2518.93 -36.9674 -42.7869 1.88525 0.240121 0.532571 0.548699 0.59803
2519.13 -37.5577 -43.2863 1.91826 0.597973 0.550205 0.355163 0.462127
2519.33 -38.1565 -43.7912 1.95226 -0.476413 0.824081 -0.125131 0.279756
2519.53 -38.7604 -44.2965 1.98127 0.753999 -0.506223 0.35984 -0.213865
2519.73 -39.3734 -44.8063 2.01128 -0.0971176 0.14826 -0.491437 0.852688
2519.93 -39.9907 -45.3154 2.04329 -0.424463 0.880055 -0.207034 0.0497144
2520.13 -40.6137 -45.8275 2.07329 -0.102545 0.77361 0.418338 -0.464764
2520.33 -41.2412 -46.3397 2.1033 0.587876 0.772605 0.149655 -0.187315
2520.53 -41.8746 -46.85 2.13731 0.454327 0.845244 0.228229 0.164505
2520.73 -42.511 -47.3621 2.16832 -0.349873 0.657363 -0.32661 0.582056
2520.93 -43.1512 -47.872 2.20633 -0.460793 0.782259 0.366019 0.204377
2521.13 -43.8005 -48.3829 2.23633 -0.162343 -0.58544 -0.0624675 0.791835
2521.33 -44.4571 -48.8926 2.26634 -0.133722 0.959195 0.245534 0.0421518
2521.53 -45.1186 -49.4037 2.28935 0.702049 -0.572147 -0.387365 0.172405
2521.73 -45.784 -49.9139 2.30936 0.364198 -0.560056 -0.304714 0.678857
2521.93 -46.4552 -50.4207 2.33137 0.0965597 0.356262 -0.365761 0.854384
2522.13 -47.125 -50.9274 2.35238 0.911371 0.396284 -0.107953 -0.0266147
2522.33 -47.7952 -51.433 2.37539 0.876573 -0.139566 -0.37921 0.261421
2522.53 -48.4679 -51.9344 2.3974 -0.267769 0.540116 0.794424 -0.0739293
2522.73 -49.1391 -52.439 2.41041 0.913478 -0.247381 -0.211654 0.244057
2522.93 -49.8129 -52.9418 2.42541 -0.433034 0.899606 -0.0187045 0.0532975
2523.13 -50.4887 -53.4428 2.43542 0.396826 0.564644 -0.429786 0.582229
2523.33 -51.1608 -53.9381 2.44543 -0.649314 0.678045 0.340783 0.050139
2523.53 -51.8346 -54.4326 2.44944 0.72473 0.361731 -0.585797 0.0275524
2523.73 -52.5057 -54.9208 2.46045 0.734788 -0.67439 0.0719216 0.0106009
2523.93 -53.1762 -55.3985 2.46346 -0.46055 0.870697 0.0972628 0.142551
2524.13 -53.8502 -55.8762 2.46647 -0.485846 0.281828 0.781178 0.272558
2524.33 -54.5287 -56.3462 2.46948 0.549616 0.516463 0.497793 0.428242
2524.53 -55.2043 -56.81 2.47249 0.713948 -0.222737 0.662099 -0.0478606
2524.73 -55.8858 -57.2735 2.4735 -0.256358 0.876653 -0.0298926 -0.406038
2524.93 -56.5691 -57.7302 2.47951 -0.0470691 -0.62244 -0.561585 0.543117
2525.13 -57.2577 -58.19 2.48052 0.267731 0.947634 -0.097637 -0.144138
2525.33 -57.9543 -58.6516 2.48053 -0.577128 -0.382583 0.718759 0.0627602
2525.53 -58.6579 -59.1152 2.47854 -0.663914 0.0165761 0.0534512 0.745712
2525.73 -59.3677 -59.5755 2.48256 0.0566391 0.964684 0.228538 0.118093
2525.93 -60.0865 -60.0373 2.47957 0.0988628 -0.320635 0.389033 0.857947
2526.13 -60.8017 -60.4955 2.47658 -0.286877 -0.0880948 -0.439449 0.846655
2526.33 -61.5266 -60.9512 2.47759 -0.533406 0.378124 0.64596 -0.394
2526.53 -62.2444 -61.4028 2.4756 0.649779 -0.514282 0.531211 -0.176398
2526.73 -62.9636 -61.8484 2.48161 0.808262 0.31105 0.407427 -0.289766
2526.93 -63.6838 -62.2937 2.48562 -0.507366 0.206436 0.23883 0.801825
2527.13 -64.3977 -62.733 2.48763 0.813391 -0.185176 0.523676 -0.172822
2527.33 -65.114 -63.1679 2.48865 0.738097 0.192941 0.262814 0.59069
2527.53 -65.8298 -63.6006 2.48266 0.604574 0.774972 0.180795 -0.0349678
2527.73 -66.5411 -64.0284 2.48467 0.581847 0.590463 -0.522297 -0.200033
2527.93 -67.2469 -64.452 2.48668 0.0355459 0.0569441 0.589381 0.805062
2528.13 -67.9509 -64.8722 2.47969 0.381233 0.0918998 0.348643 0.851272
2528.33 -68.6541 -65.2879 2.4757 0.793756 0.110778 0.0811992 0.592526
2528.53 -69.3645 -65.7029 2.47172 -0.423452 0.366442 0.715058 -0.41845
2528.73 -70.0797 -66.1141 2.47173 0.940979 -0.241899 0.0133798 -0.236355
2528.93 -70.7934 -66.5255 2.46674 0.0533551 0.747421 0.312179 0.584002
2529.13 -71.5124 -66.9347 2.46775 0.208629 0.764798 -0.088653 0.603074
2529.33 -72.2379 -67.3468 2.46677 0.741993 0.628577 -0.213292 0.0940461
2529.53 -72.9654 -67.7579 2.46878 0.763437 -0.250515 0.0599923 0.59229
2529.73 -73.695 -68.1677 2.47179 0.0557867 0.429179 -0.735574 0.521176
2529.93 -74.4291 -68.579 2.4708 -0.602663 0.651327 -0.3953 -0.237294
2530.13 -75.1613 -68.9914 2.47182 0.335574 -0.694354 0.25657 0.58261
2530.33 -75.8968 -69.4081 2.47283 0.266885 -0.695802 -0.0502811 0.664909
2530.53 -76.6329 -69.8232 2.47484 0.635778 -0.629395 0.424732 0.13875
2530.73 -77.3721 -70.2406 2.46886 0.855586 -0.477622 0.102703 0.171178
2530.93 -78.1131 -70.657 2.47387 -0.169358 -0.392894 0.7711 -0.471548
2531.13 -78.8537 -71.076 2.46889 -0.569928 0.396682 -0.213245 0.687278
2531.33 -79.5991 -71.4941 2.4699 0.893591 -0.180892 0.375687 -0.166233
2531.53 -80.3464 -71.9144 2.47291 0.090123 -0.617375 0.446019 0.641711
2531.73 -81.0948 -72.3361 2.47193 0.748706 0.0747689 0.0422559 0.657315
2531.93 -81.844 -72.758 2.47094 0.202647 -0.0681644 0.973119 -0.0855962
2532.13 -82.5932 -73.1793 2.47096 0.222038 0.812871 0.03471 0.537341
2532.33 -83.3464 -73.6067 2.46297 -0.160448 0.708145 -0.685726 -0.0506582
2532.53 -84.1008 -74.0348 2.46099 0.28602 -0.499758 0.817189 0.0252339
2532.73 -84.8624 -74.4616 2.465 0.552202 0.670508 -0.486796 0.0923134
