# time_s bgx bgy bgz bax bay baz
2515.43 0 0 0 0 0 0
2515.53 0 0 0 0 0 0
2515.63 0 0 0 0 0 0
2515.73 0 0 0 0 0 0
2515.83 0 0 0 0 0 0
2515.93 0 0 0 0 0 0
2516.03 0 0 0 0 0 0
2516.13 0 0 0 0 0 0
2516.23 0 0 0 0 0 0
2516.33 0 0 0 0 0 0
2516.43 0 0 0 0 0 0
2516.53 0 0 0 0 0 0
2516.63 0 0 0 0 0 0
2516.73 0 0 0 0 0 0
2516.83 0 0 0 0 0 0
2516.93 0 0 0 0 0 0
2517.03 0 0 0 0 0 0
2517.13 0 0 0 0 0 0
2517.23 0 0 0 0 0 0
2517.33 0 0 0 0 0 0
2517.43 0 0 0 0 0 0
2517.53 0 0 0 0 0 0
2517.63 0 0 0 0 0 0
2517.73 0 0 0 0 0 0
2517.83 0 0 0 0 0 0
2517.93 0 0 0 0 0 0
2518.03 0 0 0 0 0 0
2518.13 0 0 0 0 0 0
2518.23 0 0 0 0 0 0
2518.33 0 0 0 0 0 0
2518.43 0 0 0 0 0 0
2518.53 0 0 0 0 0 0
2518.63 0 0 0 0 0 0
2518.73 0 0 0 0 0 0
2518.83 0 0 0 0 0 0
2518.93 0 0 0 0 0 0
2519.03 0 0 0 0 0 0
2519.13 0 0 0 0 0 0
2519.23 0 0 0 0 0 0
2519.33 0 0 0 0 0 0
2519.43 0 0 0 0 0 0
2519.53 0 0 0 0 0 0
2519.63 0 0 0 0 0 0
2519.73 0 0 0 0 0 0
2519.83 0 0 0 0 0 0
2519.93 0 0 0 0 0 0
2520.03 0 0 0 0 0 0
2520.13 0 0 0 0 0 0
2520.23 0 0 0 0 0 0
2520.33 0 0 0 0 0 0
2520.43 0 0 0 0 0 0
2520.53 0 0 0 0 0 0
2520.63 0 0 0 0 0 0
2520.73 0 0 0 0 0 0
2520.83 0 0 0 0 0 0
2520.93 0 0 0 0 0 0
2521.03 0 0 0 0 0 0
2521.13 0 0 0 0 0 0
2521.23 0 0 0 0 0 0
2521.33 0 0 0 0 0 0
2521.43 0 0 0 0 0 0
2521.53 0 0 0 0 0 0
2521.63 0 0 0 0 0 0
2521.73 0 0 0 0 0 0
2521.83 0 0 0 0 0 0
2521.93 0 0 0 0 0 0
2522.03 0 0 0 0 0 0
2522.13 0 0 0 0 0 0
2522.23 0 0 0 0 0 0
2522.33 0 0 0 0 0 0
2522.43 0 0 0 0 0 0
2522.53 0 0 0 0 0 0
2522.63 0 0 0 0 0 0
2522.73 0 0 0 0 0 0
2522.83 0 0 0 0 0 0
2522.93 0 0 0 0 0 0
2523.03 0 0 0 0 0 0
2523.13 0 0 0 0 0 0
2523.23 0 0 0 0 0 0
2523.33 0 0 0 0 0 0
2523.43 0 0 0 0 0 0
2523.53 0 0 0 0 0 0
2523.63 0 0 0 0 0 0
2523.73 0 0 0 0 0 0
2523.83 0 0 0 0 0 0
2523.93 0 0 0 0 0 0
2524.03 0 0 0 0 0 0
2524.13 0 0 0 0 0 0
2524.23 0 0 0 0 0 0
2524.33 0 0 0 0 0 0
2524.43 0 0 0 0 0 0
2524.53 0 0 0 0 0 0
2524.63 0 0 0 0 0 0
2524.73 0 0 0 0 0 0
2524.83 0 0 0 0 0 0
2524.93 0 0 0 0 0 0
2525.03 0 0 0 0 0 0
2525.13 0 0 0 0 0 0
2525.23 0 0 0 0 0 0
2525.33 0 0 0 0 0 0
2525.43 0 0 0 0 0 0
2525.53 0 0 0 0 0 0
2525.63 0 0 0 0 0 0
2525.73 0 0 0 0 0 0
2525.83 0 0 0 0 0 0
2525.93 0 0 0 0 0 0
2526.03 0 0 0 0 0 0
2526.13 0 0 0 0 0 0
2526.23 0 0 0 0 0 0
2526.33 0 0 0 0 0 0
2526.43 0 0 0 0 0 0
2526.53 0 0 0 0 0 0
2526.63 0 0 0 0 0 0
2526.73 0 0 0 0 0 0
2526.83 0 0 0 0 0 0
2526.93 0 0 0 0 0 0
2527.03 0 0 0 0 0 0
2527.13 0 0 0 0 0 0
2527.23 0 0 0 0 0 0
2527.33 0 0 0 0 0 0
2527.43 0 0 0 0 0 0
2527.53 0 0 0 0 0 0
2527.63 0 0 0 0 0 0
2527.73 0 0 0 0 0 0
2527.83 0 0 0 0 0 0
2527.93 0 0 0 0 0 0
2528.03 0 0 0 0 0 0
2528.13 0 0 0 0 0 0
2528.23 0 0 0 0 0 0
2528.33 0 0 0 0 0 0
2528.43 0 0 0 0 0 0
2528.53 0 0 0 0 0 0
2528.63 0 0 0 0 0 0
2528.73 0 0 0 0 0 0
2528.83 0 0 0 0 0 0
2528.93 0 0 0 0 0 0
2529.03 0 0 0 0 0 0
2529.13 0 0 0 0 0 0
2529.23 0 0 0 0 0 0
2529.33 0 0 0 0 0 0
2529.43 0 0 0 0 0 0
2529.53 0 0 0 0 0 0
2529.63 0 0 0 0 0 0
2529.73 0 0 0 0 0 0
2529.83 0 0 0 0 0 0
2529.93 0 0 0 0 0 0
2530.03 0 0 0 0 0 0
2530.13 0 0 0 0 0 0
2530.23 0 0 0 0 0 0
2530.33 0 0 0 0 0 0
2530.43 0 0 0 0 0 0
2530.53 0 0 0 0 0 0
2530.63 0 0 0 0 0 0
2530.73 0 0 0 0 0 0
2530.83 0 0 0 0 0 0
2530.93 0 0 0 0 0 0
2531.03 0 0 0 0 0 0
2531.13 0 0 0 0 0 0
2531.23 0 0 0 0 0 0
2531.33 0 0 0 0 0 0
2531.43 0 0 0 0 0 0
2531.53 0 0 0 0 0 0
2531.63 0 0 0 0 0 0
2531.73 0 0 0 0 0 0
2531.83 0 0 0 0 0 0
2531.93 0 0 0 0 0 0
2532.03 0 0 0 0 0 0
2532.13 0 0 0 0 0 0
2532.23 0 0 0 0 0 0
2532.33 0 0 0 0 0 0
2532.43 0 0 0 0 0 0
2532.53 0 0 0 0 0 0
2532.63 0 0 0 0 0 0
2532.73 0 0 0 0 0 0
2532.83 0 0 0 0 0 0
2532.93 0 0 0 0 0 0
2533.03 0 0 0 0 0 0
2533.13 0 0 0 0 0 0
2533.23 0 0 0 0 0 0
2533.33 0 0 0 0 0 0
2533.43 0 0 0 0 0 0
2533.53 0 0 0 0 0 0
2533.63 0 0 0 0 0 0
2533.73 0 0 0 0 0 0
2533.83 0 0 0 0 0 0
2533.93 0 0 0 0 0 0
2534.03 0 0 0 0 0 0
2534.13 0 0 0 0 0 0
2534.23 0 0 0 0 0 0
2534.33 0 0 0 0 0 0
2534.43 0 0 0 0 0 0
2534.53 0 0 0 0 0 0
2534.63 0 0 0 0 0 0
2534.73 0 0 0 0 0 0
2534.83 0 0 0 0 0 0
2534.93 0 0 0 0 0 0
2535.03 0 0 0 0 0 0
2535.13 0 0 0 0 0 0
2535.23 0 0 0 0 0 0
2535.33 0 0 0 0 0 0
2535.43 0 0 0 0 0 0
2535.53 0 0 0 0 0 0
2535.63 0 0 0 0 0 0
2535.73 0 0 0 0 0 0
